n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample,alpha,best_it
100,0.01,4,5,0.8,0.8,75,997
100,0.01,6,3,0.8,0.9,100,520
100,0.01,6,7,0.9,0.9,1,645
100,0.01,3,7,0.8,0.9,0,416
100,0.01,2,6,0.9,0.9,75,453
100,0.01,2,5,0.8,0.8,100,639
100,0.01,5,7,0.8,0.9,75,790
100,0.01,1,3,0.8,0.9,100,450
100,0.01,1,7,0.9,0.9,75,864
100,0.01,1,6,0.8,0.9,25,388
100,0.01,1,3,0.8,0.8,100,298
100,0.01,6,5,0.8,0.8,5,404
100,0.01,3,3,0.8,0.9,100,508
100,0.01,3,5,0.9,0.8,50,438
100,0.01,6,3,0.9,0.8,5,301
100,0.01,6,7,0.9,0.9,7,963
100,0.01,2,5,0.8,0.9,100,659
100,0.01,5,7,0.8,0.8,75,584
100,0.01,1,8,0.8,0.9,0,965
100,0.01,6,4,0.9,0.9,100,566
100,0.01,5,8,0.8,0.8,0,892
100,0.01,1,5,0.8,0.9,100,671
100,0.01,5,8,0.8,0.9,100,869
100,0.01,6,4,0.8,0.9,100,890
100,0.01,2,4,0.8,0.8,75,503
100,0.01,2,4,0.8,0.9,100,555
100,0.01,6,3,0.8,0.8,75,390
100,0.01,2,5,0.9,0.8,50,327
100,0.01,3,3,0.9,0.9,5,312
100,0.01,2,3,0.8,0.9,7,360
100,0.01,6,6,0.8,0.8,100,915
100,0.01,3,4,0.9,0.9,100,733
100,0.01,5,8,0.9,0.9,0,986
100,0.01,5,3,0.9,0.9,10,248
100,0.01,1,6,0.8,0.9,100,669
100,0.01,1,4,0.9,0.9,100,750
100,0.01,5,7,0.8,0.9,50,746
100,0.01,6,4,0.8,0.9,100,678
100,0.01,1,5,0.8,0.8,100,1845
100,0.01,1,8,0.8,0.9,1,386
100,0.01,1,6,0.8,0.8,25,399
100,0.01,5,7,0.8,0.9,7,265
100,0.01,6,3,0.8,0.8,75,490
100,0.01,3,7,0.9,0.8,0,858
100,0.01,6,8,0.8,0.8,5,449
100,0.01,6,8,0.8,0.8,75,764
100,0.01,5,6,0.8,0.8,100,775
100,0.01,6,5,0.8,0.9,100,522
100,0.01,6,3,0.8,0.8,100,851
100,0.01,3,3,0.9,0.8,10,704
100,0.01,4,5,0.8,0.9,100,723
100,0.01,5,3,0.8,0.8,100,673
100,0.01,6,5,0.8,0.9,100,625
100,0.01,3,3,0.8,0.8,100,567
100,0.01,5,4,0.8,0.9,100,560
100,0.01,6,4,0.8,0.8,100,521
100,0.01,6,7,0.8,0.8,100,722
100,0.01,2,3,0.8,0.8,50,438
100,0.01,4,3,0.8,0.8,1,258
100,0.01,4,6,0.8,0.9,5,409
